id,ollama_tag,backend,gpu_config,ok,error,load_time_s,decode_tok_per_s,prompt_tok_per_s,ttft_s,n_generated,peak_vram_mib,gguf_size_gb,bandwidth_gb_s,bandwidth_pct
qwen3.6-35b-a3b-q4,eval/qwen3.6-35b-a3b-q4,llamacpp,single1,rag,0,True,,,60.98426573282736,305.10666979761345,1.880053,512,"{0: 2338.91796875, 1: 14274.09765625}",22.134528992,1349.8579979190993,100.43586294040918
qwen3.6-35b-a3b-q4,eval/qwen3.6-35b-a3b-q4,llamacpp,dual,rag,0,True,,,101.62459309539807,1478.1604479884793,0.376539,512,"{0: 13807.703125, 1: 11208.09765625}",22.134528992,2249.4125021702916,167.3670016495753
gemma4-12b-qat,eval/gemma4-12b-qat,ollama,auto,chat,0,True,,6.2421728,49.36529488554989,5865.970876083958,0.09120400000000001,256,"{0: 10783.953125, 1: 261.0}",0.0,0.0,6.975877728,344.36626112825985,51.24497933456248
gemma4-12b-qat,eval/gemma4-12b-qat,llamacpp,single0,chat,0,True,,,51.21211732619055,1882.2159737074858,0.28298,256,"{0: 11838.546875, 1: 261.0}",0.0,0.0,6.975877728,357.2494686594956,53.162123312424946
gemma4-12b-qat,eval/gemma4-12b-qat,llamacpp,dual,chat,0,True,,,49.65205740610135,1926.2390220895986,0.276053,256,"{0: 7487.671875, 1: 5816.09765625}",0.0,0.0,6.975877728,346.36668140859985,25.771330461949393
qwen3.5-9b-q4,eval/qwen3.5-9b-q4,ollama,auto,chat,0,True,,3.7838652,65.66695506456406,16773.534412430712,0.0328,256,"{0: 8729.1484375, 1: 261.0}",0.0,0.0,5.680522464,373.02261338673475,55.50931746826409
qwen3.5-9b-q4,eval/qwen3.5-9b-q4,llamacpp,single0,chat,0,True,,,69.99880519394655,1197.5025473438966,0.133406,256,"{0: 8221.796875, 1: 261.0}",0.0,0.0,5.680522464,397.6297853573733,59.17109901151388
qwen3.5-9b-q4,eval/qwen3.5-9b-q4,llamacpp,dual,chat,0,True,,,67.84669365563113,1176.8432412793593,0.13808700000000002,256,"{0: 5516.734375, 1: 3950.09765625}",0.0,0.0,5.680522464,385.4046674189389,28.6759425162901
qwen3.5-9b-q8,eval/qwen3.5-9b-q8,ollama,auto,chat,0,True,,5.0229961,42.64151283602617,8677.585917407609,0.062115000000000004,256,"{0: 7282.0234375, 1: 5766.09765625}",0.0,0.0,9.527502048,406.2671008750577,30.228206910346557
qwen3.5-9b-q8,eval/qwen3.5-9b-q8,llamacpp,single0,chat,0,True,,,45.027849754655136,1307.2195192446688,0.124531,256,"{0: 11399.8984375, 1: 261.0}",0.0,0.0,9.527502048,429.00293075451316,63.839721838469224
qwen3.5-9b-q8,eval/qwen3.5-9b-q8,llamacpp,dual,chat,0,True,,,44.40865428001026,1218.1421391558988,0.1357725,256,"{0: 7083.8984375, 1: 5564.09765625}",0.0,0.0,9.527502048,423.10354460172175,31.480918497151915
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,ollama,auto,chat,0,True,,8.239538,22.739130944306595,795.0786423333791,0.67796,256,"{0: 11287.7109375, 1: 9778.09765625}",0.0,0.0,16.817244384,382.40952217018065,28.45308944718606
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,llamacpp,single0,chat,0,True,,,9.927393190520569,211.70067176862494,0.7842865,256,"{0: 16060.83984375, 1: 261.0}",0.0,0.0,16.817244384,166.95139738104186,24.84395794360742
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,llamacpp,dual,chat,0,True,,,22.982814473257285,383.91004686003686,0.4202385,256,"{0: 11334.52734375, 1: 9768.09765625}",0.0,0.0,16.817244384,386.50760762889996,28.75800652000744
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,ollama,auto,chat,0,True,,9.1284551,17.471303290429134,696.8523607020907,0.7737814999999999,256,"{0: 14108.26953125, 1: 12244.09765625}",0.0,0.0,22.523238624,393.5103330826118,29.279042640075282
